armenian,translations
ԱՌԱՋԱՄՈՒԽ,"рвущийся вперёд, мчащийся вперёд"
ԱՌԱՋԱՆԱԼ,"продвигаться, продвинуться"
ԱՌԱՋԱՆՑՈՒՄ,проходка
ԱՌԱՋԱՊԱՀ,авангард;авангардный
ԱՌԱՋԱՊԱՀԱԿԱԿԵՏ,"аванпост, форпост"
ԱՌԱՋԱՎՈՐ,"передовой, авангардный;главный, головной, ведущий;передовик"
ԱՌԱՋԱՏԱՐ,"ведущий, главный;движущий, направляющий, ведущий"
ԱՌԱՋԱՏՎՈՒԹՅՈՒՆ,прогрессия
ԱՌԱՋԱՐԿ,предложение
ԱՌԱՋԱՐԿԵԼ,"предлагать, предложить;предложить свои услуги"
ԱՌԱՋԱՐԿԵԼԻ,предлагаемый
ԱՌԱՋԱՐԿՈՒԹՅՈՒՆ,предложение
ԱՌԱՋԱՐԿՎԵԼ,предлагаться
ԱՌԱՋԱՑՆԵԼ,"порождать, породить, вызывать, вызвать"
ԱՌԱՋԱՑՈՒՄ,"возникновение, происхождение, зарождение"
ԱՌԱՋԱՔԻՄՔ,твёрдое нёбо
ԱՌԱՋԲԵՐՈՒՄ,"порождение, образование"
ԱՌԱՋԸՆԹԱՑ,"поступательный, передовой, прогрессивный"
ԱՌԱՋԻ,"передний;прежний, предыдущий"
ԱՌԱՋԻԿԱ,"предстоящий, грядущий , будущий"
ԱՌԱՋԻՄԱՑ,предвидящий
ԱՌԱՋԻՆ,первый;первое
ԱՌԱՋԽԱՂԱՑՈՒԹՅՈՒՆ,"родвижение, наступление"
ԱՌԱՋԽԱՂԱՑՈՒՄ,"родвижение, наступление"
ԱՌԱՋԿՏՐՈՒԿ,обгон
ԱՌԱՋԿՏՐՈՒԿԻ,"вперегонки, вперебежку, взапуски, наперегонки"
ԱՌԱՋՄՂԻՉ,движущий
ԱՌԱՋՄՂՈՒՄ,продвижение
ԱՌԱՋՆԱԳՈՒՅՆ,"первейший, главнейший"
ԱՌԱՋՆԱԾԻՆ,первородящая;первотельная
ԱՌԱՋՆԱԿԱՆՈՒԹՅՈՒՆ,первостепенность
ԱՌԱՋՆԱԿԱՌՈՒՅՑ,ранее построенный
ԱՌԱՋՆԱԿԱՐԳ,"перворазрядный, первостепенный, первоклассный, первосортный"
ԱՌԱՋՆԱՀԵՐԹ,первоочередной
ԱՌԱՋՆԱՅԻՆ,передовой;первичный
ԱՌԱՋՆԱՏԵՍԱԿ,первосортный
ԱՌԱՋՆԵԿ,первенец
ԱՌԱՋՆԵՏՈՒՄ,"рывок, бросок вперёд"
ԱՌԱՋՆՈՐԴ,"вождь, предводитель;глава племени, общины;вожак;военачальник;проводник;глава епархии;пособие для изучения чего-либо"
ԱՌԱՋՆՈՐԴԱԿԱՆ,принадлежащий главе епархии
ԱՌԱՋՆՈՐԴԱՐԱՆ,резиденция главы епархии
ԱՌԱՋՆՈՐԴԵԼ,"водить, вести, проводить, провести"
ԱՌԱՋՆՈՐԴՈՂ,"передовая статья, передовая, передовица;руководящий"
ԱՌԱՋՆՈՐԴՈՒԹՅՈՒՆ,"руководство, предводительство"
ԱՌԱՋՆՈՐԴՈՒՄ,"вождение, сопровождение"
ԱՌԱՋՆՈՐԴՎԵԼ,"руководствоваться, руководиться"
ԱՌԱՋՆՈՒԹՅՈՒՆ,"первенство, примат, приоритет"
ԱՌԱՋՇԱՐԺՈՒՄ,продвижение;наступление
ԱՌԱՋՈՒՑ,"заранее, предварительно, вперед;разг;наперёд;прост"
ԱՌԱՋՔ,передок;первач
ԱՌԱՋՔԱՇՈՒՄ,выдвижение
ԱՌԱՌԱՎԵԼՆ,"самое большее, максимум"
ԱՌԱՍԱՆ,"верёвка, бечёвка"
ԱՌԱՍԱՆԱԿ,"верёвка, бечёвка"
ԱՌԱՍԱՆԵԼ,"связывать, связать верёвкой;бечёвкой"
ԱՌԱՍՊԵԼ,"миф, легенда"
ԱՌԱՍՊԵԼԱԲԱՆ,сказитель
ԱՌԱՍՊԵԼԱԲԱՆՈՒԹՅՈՒՆ,мифология
ԱՌԱՍՊԵԼԱԲԱՐ,мифически
ԱՌԱՍՊԵԼԱԽԱՌՆ,"полумифический, полулегендарный"
ԱՌԱՍՊԵԼԱԽՈՍ,рассказчик мифов
ԱՌԱՍՊԵԼԱԿԱՆ,"мифический, легендарный;баснословный, необычайный, неимоверный"
ԱՌԱՍՊԵԼԱՀՅՈՒՍ,легендарный
ԱՌԱՍՊԵԼԱՀՈԴ,"легендарный, мифический"
ԱՌԱՍՊԵԼԱՀՌՉԱԿ,легендарный
ԱՌԱՍՊԵԼԱՊԱՏՈՒՄ,"содержащий мифы, легенды;легендарный, мифический"
ԱՌԱՍՏԱՂ,потолок;нёбо;небо
ԱՌԱՎԵԼ,"больше, более"
ԱՌԱՎԵԼԱԳՈՒՅՆ,"максимальный, предельный, высший, наибольший"
ԱՌԱՎԵԼԱԿԱՆ,преимущественный
ԱՌԱՎԵԼԱՊԱՏԻԿ,многократный
ԱՌԱՎԵԼՈՒԹՅՈՒՆ,"преимущество, превосходство, перевес;предпочтение, первенство;достоинство, преимущество"
ԱՌԱՎՈՏ,"утро;юность, утро жизни"
ԱՌԱՎՈՏԱԴԵՄ,рассвет
ԱՌԱՎՈՏԱՆԱԼ,"рассветать, рассвести"
ԱՌԱՎՈՏՅԱՆ,"утренний;утром, утречком , поутру"
ԱՌԱՎՈՏՈՒՑ,с утра
ԱՌԱՏ,"обильно, щедро"
ԱՌԱՏ-ԱՌԱՏ,"очень щедро, обильно"
ԱՌԱՏԱԲԱՇԽ,"щедрый, обильный"
ԱՌԱՏԱԲԱՇԽՈՒԹՅՈՒՆ,щедрость
ԱՌԱՏԱԲԱՇԽՎԵԼ,"щедро одариваться, наделяться"
ԱՌԱՏԱԲԵՐ,"урожайный, обильный"
ԱՌԱՏԱԲԵՐՈՒԹՅՈՒՆ,"урожайность, обилие"
ԱՌԱՏԱԲՈՒԽ,"обильный, щедрый"
ԱՌԱՏԱԲՈՒՌՆ,щедрый
ԱՌԱՏԱԼԻՐ,"переполненный, битком набитый"
ԱՌԱՏԱԼՈՒՅՍ,"очень светлый, хорошо освещенный"
ԱՌԱՏԱԾԻՆ,плодовитый
ԱՌԱՏԱՀՈՍ,"многоводный, полноводный;льющийся через край, обильный"
ԱՌԱՏԱՀՈՐԴ,"многоводный, полноводный;льющийся через край, обильный"
ԱՌԱՏԱՁԵՌՆ,щедрый
ԱՌԱՏԱՁԵՌՆԱՆԱԼ,"расщедриваться, расщедриться"
ԱՌԱՏԱՁԵՌՆՈՐԵՆ,"щедро, не скупясь, щедрой рукой"
ԱՌԱՏԱՁԵՌՆՈՒԹՅՈՒՆ,щедрость
ԱՌԱՏԱՄԱԶ,"волосатый, покрытый густыми волосами"
ԱՌԱՏԱՄՈՐՈՒՔ,"бородатый, обладающий пышной густой бородой"
ԱՌԱՏԱՆԱԼ,"стать обильным, увеличиться;расщедриваться, расщедриться"
ԱՌԱՏԱՇՆՈՐՀ,"щедро одаряющий;даровитый, одарённый"
ԱՌԱՏԱՋՈՒՐ,"многоводный, полноводный"
ԱՌԱՏԱՍԻՐՏ,"радушный, щедрый"
ԱՌԱՏԱՍՐՏՈՒԹՅՈՒՆ,"радушие, щедрость"
ԱՌԱՏԱՐՅՈՒՆ,полнокровный
ԱՌԱՏԱՐՅՈՒՆՈՒԹՅՈՒՆ,полнокровие
ԱՌԱՏԱՑՆԵԼ,"сделать обильным, приумножать, приумножить"
ԱՌԱՏԱՑՈՂ,росистый
ԱՌԱՏՈՒԹՅՈՒՆ,"обилие, изобилие, избыток"
ԱՌԱՐԿԱ,предмет;вещь
ԱՌԱՐԿԱՅԱԶՈՒՐԿ,беспредметный
ԱՌԱՐԿԱՅԱԿԱՆ,"предметный;вещественный, материальный, предметный, физический"
ԱՌԱՐԿԱՅԱԿԱՆՈՒԹՅՈՒՆ,"предметность. вещественность, материальность"
ԱՌԱՐԿԱՅԱՆԱԼ,"овеществляться, овеществиться"
ԱՌԱՐԿԱՅԱՊԵՍ,попредметно
ԱՌԱՐԿԱՅԱՑԱՆԿ,предметный указатель
ԱՌԱՐԿԱՅԱՑՈՒՄ,"овеществление, опредмечивание;выражение"
ԱՌԱՐԿԱՅՈՐԵՆ,фактически
ԱՌԱՐԿԵԼ,"возражать, возразить, оспаривать, протестовать, противоречить"
ԱՌԱՐԿՈՒԹՅՈՒՆ,"возражение, протест"
ԱՌԱՐԿՈՒՄ,"возражение, протест"
ԱՌԱՓՆՅԱ,"прибрежный, береговой"
ԱՌԱՔԱՎՃԱՐ,плата за пересылку
ԱՌԱՔԵԼ,спец
ԱՌԱՔԵԼԱԴԻՐ,"апостольский, установленный апостолами"
ԱՌԱՔԵԼԱԿԱՆ,апостольский
ԱՌԱՔԵԼԱՀԻՄՆ,основанный апостолами
ԱՌԱՔԵԼԱՇԵՆ,основанный апостолами
ԱՌԱՔԵԼԱՎԱՆԴ,завещанный апостолами
ԱՌԱՔԵԼՈՒԹՅՈՒՆ,"миссия;высок;предназначение, назначение;он выполнил свою миссию"
ԱՌԱՔԻՆԱԲԱՐ,"честно, нравственно, добродетельно"
ԱՌԱՔԻՆԱԶԱՐԴ,"преисполненный добродетели, высоконравственный"
ԱՌԱՔԻՆԱՆԱԼ,"стать добродетельным, честным, нравственным, чистым"
ԱՌԱՔԻՆԱՍԵՐ,добродетельный
ԱՌԱՔԻՆԱՍԻՐՈՒԹՅՈՒՆ,любовь к добродетели
ԱՌԱՔԻՆԱՑՆԵԼ,"сделать добродетельным, честным"
ԱՌԱՔԻՆԻ,"добродетельный, честный, высоконравственный, чистый"
ԱՌԱՔԻՆՈՒԹՅՈՒՆ,"добродетель, честность"
ԱՌԱՔԻՉ,"отправитель, экспедитор"
ԱՌԱՔՅԱԼ,"проповедник, посланец"
ԱՌԱՔՈՒՄ,"экспедиция , экспедирование;посылка"
ԱՌԱՔՎԵԼ,"пересылаться, экспедироваться"
ԱՌԲԱԺԻՆ,здравотдел
ԱՌԲԵՐՈՒՄ,"подвоз, доставка;подвоз, доставка товаров"
ԱՌԲԵՐՎԵԼ,доставляться
ԱՌԳՐԱՎԵԼ,конфисковать;конфисковать имущество
ԱՌԳՐԱՎՈՒՄ,конфискация
ԱՌԳՐԱՎՎԵԼ,конфисковаться
ԱՌԳՐԵԼ,"приписывать, приписать"
ԱՌԳՐՈՒԹՅՈՒՆ,приписывание
ԱՌԴԻՐ,приложение;приложенный;при сём
ԱՌԴՐԵԼ,"прилагать, приложить;к письму в т. п"
ԱՌԴՐՈՒԹՅՈՒՆ,приложение;к письму и т. п
ԱՌԴՐՈՒՄ,приложение;к письму и т. п
ԱՌԴՐՎԵԼ,прилагаться
ԱՌԵՂԾՎԱԾ,"загадка, тайна"
ԱՌԵՂԾՎԱԾԱԿԱՆ,"загадочный, таинственный, покрытый;окутанный;тайной, неразгаданный;загадочная история"
ԱՌԵՂԾՎԱԾԱՅԻՆ,"загадочный, таинственный, покрытый;окутанный;тайной, неразгаданный;загадочная история"
ԱՌԵՂԾՎԱԾՈՐԵՆ,"загадочно, таинственно"
ԱՌԵՎԱՆԳԵԼ,похищать;умыкать;женщин
ԱՌԵՎԱՆԳԻՉ,похититель
ԱՌԵՎԱՆԳՈՒԹՅՈՒՆ,"похищение, умыкание"
ԱՌԵՎԱՆԳՈՒՄ,"похищение, умыкание"
ԱՌԵՎԱՆԳՎԵԼ,похищаться
ԱՌԵՎՏՈՒՐ,"торговля, коммерция, купля-продажа"
ԱՌԵՎՏՐԱԱՐԴՅՈՒՆԱԲԵՐԱԿԱՆ,торгово-промышленный
ԱՌԵՎՏՐԱԳՈՐԾԱՐՔ,торговая сделка
ԱՌԵՎՏՐԱԿԱՅԱՆ,торговый пункт
ԱՌԵՎՏՐԱԿԱՆ,"торговый, коммерческий;торговец, коммерсант, купец"
ԱՌԵՎՏՐԱԿԱՆՈՒԹՅՈՒՆ,"торговцы, коммерсанты, купцы"
ԱՌԵՎՏՐԱՄԱՏՅԱՆ,торговая книга
ԱՌԵՎՏՐԱՅԻՆ,торговый
ԱՌԵՎՏՐԱՆԱՎ,торговое судно
ԱՌԵՎՏՐԱՇԱՀՈՒՅԹ,торговая прибыль
ԱՌԵՎՏՐԱՊԱՅՄԱՆԱԳԻՐ,торговый договор
ԱՌԵՎՏՐԱՏՈՐՄ,торговый флот
ԱՌԵՎՏՐԱՏՈՐՄԻՂ,торговый флот
ԱՌԵՎՏՐԱՏՈՒՆ,торговый дом
ԱՌԵՐԵՍ,"притворно, внешне, с виду"
ԱՌԵՐԵՍՈՒՄ,очная ставка
ԱՌԵՐԵՎՈՒՅԹ,"видимый, кажущийся, внешний, наружный;внешне, наружно, с виду"
ԱՌԷՋ,"основа, продольные нити ткани;тычинка;веретено"
ԱՌԷՋՔ,"основа, продольные нити ткани;тычинка;веретено"
ԱՌԷՋՔԱՅԻՆ,"тычинковый, тычиночный"
ԱՌԷՋՔԱՎՈՐ,имеющий тычинки
ԱՌԸՆԹԵՐ,"около, близ, возле, при"
ԱՌԸՆԹԵՐՈՒԹՅՈՒՆ,"близость, связь"
ԱՌԹԻՎ,по поводу;чего;в связи;с чем;по поводу праздника
ԱՌԺԱՄ,некоторое время
ԱՌԺԱՄԱՆԱԿ,"временно, на время, пока"
ԱՌԺԱՄԱՆԱԿՅԱ,"временный, кратковременный"
ԱՌԺԱՄԱՊԵՍ,"временно, кратковременно"
ԱՌԺԱՄՅԱ,временный;современный
ԱՌԻԹ,"повод, предлог"
ԱՌԻՔ,потолок
ԱՌԼԵՑՈՒՆ,переполненный;преисполненный
ԱՌԼԾԵԼ,"припрягать, припрячь"
ԱՌԼՑԵԼ,"наполнять, наполнить, переполнять, переполнить;преисполнять, преисполнить"
ԱՌԼՑՎԵԼ,"наполняться, наполниться, переполняться;преисполняться, преисполниться"
ԱՌԿԱ,наличный
ԱՌԿԱԽ,"открытый, нерешённый"
ԱՌԿԱԽԵԼ,"вешать, повесить"
ԱՌԿԱՅԾ,"мерцающий, мигающий, затухающий"
ԱՌԿԱՅԾԵԼ,"мерцать, мигать;мелькать, мелькнуть, промелькнуть;блестеть, блеснуть, искриться, заискриться"
ԱՌԿԱՅԾՈՒՄ,"мерцание, мигание;искрение;мелькание;проблеск, искра"
ԱՌԿԱՅԾՈՒՆ,"мерцающий, мигающий;искрящийся;мелькающий"
ԱՌԿԱՅՈՒԹՅՈՒՆ,"наличие, присутствие, существование"
ԱՌԿՈՂ,каменистое место
ԱՌՀԱՊԱ,"отныне;книжн;впредь, в дальнейшем, в будущем"
ԱՌՀԱՊԱՅՆ,"отныне;книжн;впредь, в дальнейшем, в будущем"
ԱՌՀԱՍԱՐԱԿ,"вообще, в общем, в целом"
ԱՌՀԱՎԱՏՉՅԱ,залог;чего;порука
ԱՌՀԱՎԵՏ,во;веки веков
ԱՌՀԱՐԿԻ,"принуждённо, поневоле"
ԱՌՁԱՅՆՈՒՅԹ,ассонанс
ԱՌՁԵՌՆ,"наличный;общедоступный, карманный, настольный"
ԱՌՄԻՇՏ,навсегда
ԱՌՄՈՒՏՔ,крыльцо
ԱՌՅՈՒԾ,лев
ԱՌՅՈՒԾԱԲԱՇ,с львиной гривой
ԱՌՅՈՒԾԱԲԱՐ,"бороться, по-львиному, с львиной отвагой"
ԱՌՅՈՒԾԱԳԻ,пустырник
ԱՌՅՈՒԾԱԳԼՈՒԽ,с львиной головой
ԱՌՅՈՒԾԱԳՈՉ,"рычащий, рыкаюший"
ԱՌՅՈՒԾԱԴԵՄ,"бесстрашный, могучий, подобный льву"
ԱՌՅՈՒԾԱԼԱՆՋ,"широкоплечий, с львиной грудью, могучий"
ԱՌՅՈՒԾԱԾԻՆ,"рождённый львом, львиной породы;порождающий льва, богатыря"
ԱՌՅՈՒԾԱԿԵՐՊ,похожий на льва
ԱՌՅՈՒԾԱԿՈՐՅՈՒՆ,львёнок
ԱՌՅՈՒԾԱՁԵՎ,похожий на льва;раздирающий льва
ԱՌՅՈՒԾԱՃԻՐԱՆ,"обладающий львиными когтями;могучий, сильный;леонтика"
ԱՌՅՈՒԾԱՄԱՅՐ,"львица, львица-мать;мать богатыря"
ԱՌՅՈՒԾԱՄԱՐՏ,борьба со львом;бой львов
ԱՌՅՈՒԾԱՄԱՐՏԻԿ,"борющийся со львом;борющийся, как лев"
ԱՌՅՈՒԾԱՄՌՈՒՆՉ,"рыкающий;львиный рык, рычание, рёв"
ԱՌՅՈՒԾԱՅԻՆ,львиный
ԱՌՅՈՒԾԱՆԻՇ,эмблема с изображением льва;с изображением льва
ԱՌՅՈՒԾԱՍՊԱՆ,убивающий львов
ԱՌՅՈՒԾԱՏԱՄ,"кульбаба, кулибаба"
ԱՌՅՈՒԾԵՆԻ,львиная шкура
ԱՌՅՈՒԾՈՐԴԻ,"храбрец, богатырь, герой"
ԱՌՆԱԲԱՂՁ,похотливая
ԱՌՆԱԲԱՐ,"мужественно, храбро, доблестно, отважно;по-мужски, как мужчина"
ԱՌՆԱԳԵՂ,"мужественный, обладающий мужской красотой"
ԱՌՆԱԴԵՄ,с мужественным лицом
ԱՌՆԱԶԳԵՍՏ,мужская одежда;одетый по-мужски
ԱՌՆԱԹԱՓ,"могучий, обладающий могучим размахом"
ԱՌՆԱԿԱՆ,"мужественный, мужской"
ԱՌՆԱԿԱՆԱՆԱԼ,"мужать, возмужать"
ԱՌՆԱԿԱՆՈՐԵՆ,мужественно
ԱՌՆԱԿԱՆՈՒԹՅՈՒՆ,мужественность
ԱՌՆԱԿԵՐՊ,"мужеподобный, мужеобразный"
ԱՌՆԱՆԱԼ,"мужать, возмужать"
ԱՌՆԱՎՈՒՏ,"огромный, громадный, здоровенный"
ԱՌՆԵԼ,"брать, взять;покупать, купить;получать, получить;занимать, занять, брать, взять;брать на себя;брать  в жены;ударяться, удариться;покрывать, покрыть, крыть;понимать, употреблять;принимать, принять"
ԱՌՆԵԼԻՔ,"то, что следует купить"
ԱՌՆԵԼԻՔ-ՏԱԼԻՔ,"денежные счёты;взаимные счёты, отношения"
ԱՌՆԵՏ,крыса
ԱՌՆԵՏՈՐՍ,крысолов
ԱՌՆՄԱՆՈՒԹՅՈՒՆ,ассимиляция
ԱՌՆՄԱՆՈՒՄ,ассимиляция
ԱՌՆՈՎԻ,"купленный, покупной"
ԱՌՆՉԱԲԱՐ,касательно
ԱՌՆՉԱԿԱՆ,прикосновенный
ԱՌՆՉԱԿԻՑ,соприкасающийся
ԱՌՆՉԱԿՑՈՒԹՅՈՒՆ,"взаимосвязь, соприкосновение, соприкосновенность"
ԱՌՆՉԱԿՑՎԵԼ,"соприкасаться, соприкоснуться"
ԱՌՆՉԵԼ,"связывать, связать"
ԱՌՆՉՈՒԹՅՈՒՆ,"связь, отношение, прикосновенность;книжн;соприкосновение"
ԱՌՆՉՈՒՄ,"связь, отношение, прикосновенность;книжн;соприкосновение"
ԱՌՆՉՎԵԼ,"связываться, связаться, соприкасаться, соприкоснуться"
ԱՌՆՎԱԶՆ,"по меньшей;по крайней;мере, минимально, минимум, самое меньшее;малое"
ԱՌՆՎԵԼ,браться;покупаться
ԱՌՇԵՂ,"вкось, косо, вкривь, криво;кривой, косой"
ԱՌՈԳԱՆԵԼ,"произносить, произнести, выговаривать, выговорить"
ԱՌՈԳԱՆՈՒԹՅՈՒՆ,"произношение, дикция, артикуляция, выговор;акцент"
ԱՌՈՂՋ,"здоровый;здравый, здравомыслящий, разумный;справедливый, принципиальный, честный, здоровый"
ԱՌՈՂՋԱԲԱՆ,гигиенист
ԱՌՈՂՋԱԲԱՆԱԿԱՆ,"гигиенический, гигиеничный"
ԱՌՈՂՋԱԲԱՆՈՐԵՆ,"гигиенически, гигиенично"
ԱՌՈՂՋԱԲԱՆՈՒԹՅՈՒՆ,гигиена
ԱՌՈՂՋԱԲԵՐ,"оздоровительный, оздоровляющий"
ԱՌՈՂՋԱԴԵՄ,"здоровый, пышущий здоровьем"
ԱՌՈՂՋԱԿԱԶՄ,"здоровый, крепкий, цветущий, пышущий здоровьем"
ԱՌՈՂՋԱԿԱՆ,состояние здоровья
ԱՌՈՂՋԱՄԻՏ,"здравомыслящий;книжн;благоразумный, разумный, трезвый"
ԱՌՈՂՋԱՄՏՈՒԹՅՈՒՆ,здравомыслие;книжн
ԱՌՈՂՋԱՆԱԼ,"оздоровляться, оздоровиться"
ԱՌՈՂՋԱՆԴԱՄ,здоровый
ԱՌՈՂՋԱՊԱՀԱԿԱՆ,относящийся к здравоохранению
ԱՌՈՂՋԱՊԱՀՈՒԹՅՈՒՆ,здравоохранение
ԱՌՈՂՋԱՐԱՆ,"здравница, санаторий"
ԱՌՈՂՋԱՐԱՐ,"оздоровительный;целебный, целительный"
ԱՌՈՂՋԱՐԱՐՈՒԹՅՈՒՆ,"целебность, целительность;книжн"
ԱՌՈՂՋԱՑՆԵԼ,"оздоровлять, оздоровить, исцелять исцелить"
ԱՌՈՂՋԱՑՈՒՄ,"выздоровление, оздоровление, исцеление"
ԱՌՈՂՋՈՒԹՅՈՒՆ,"здоровье, здравие;устар"
ԱՌՈՏՆԵԼ,"унижать, унизить уничижать;устар;растаптывать, растоптать"
ԱՌՈՒ,"ручей;канава;небольшой оросительный канал, арык"
ԱՌՈՒԾԱԽ,"купля-продажа, торговля"
ԱՌՈՒԾԱԽՍ,"купля-продажа, торговля"
ԱՌՈՒԿՈՒԼ,разбой
ԱՌՈՒՄ,"взятие, занятие;значение, смысл"
ԱՌՈՒՅԳ,"бодрый, бойкий, резвый, живой;бодро, бойко, резво, живо"
ԱՌՈՒՅԳԱՆԱԼ,"ободряться, ободриться, оживляться, оживиться"
ԱՌՈՒՅԳԱՏԵՍ,"бодрый, с бодрым видом"
ԱՌՈՒՅԳԱՑՆԵԼ,"ободрять, ободрить, оживлять, оживить"
ԱՌՈՒՅԳՈՒԹՅՈՒՆ,"бодрость, живость, резвость, бойкость"
ԱՌՈՒՓԱԽ,"грабёж, ограбление, разграбление"
ԱՌՈՔ-ՓԱՌՈՔ,"торжественно, пышно"
ԱՌՋԵՎ,"перед;передо;кем-л., чем-либо, напротив кого-л., чего-либо;перед дверью"
ԱՌՋԵՎԱՄԱՍ,передняя часть
ԱՌՋԻ,первый;предыдущий
ԱՌՋԻՆԵԿ,первенец
ԱՌՋՆԵԿ,первенец
ԱՌՍԱԿԱՎՆ,"по меньшей мере, минимум"
ԱՌՎԱԿ,ручеёк;канавка
ԱՌՎԱՀԱՆ,"рытьё канавы;очистка канавы;канавокопатель;очищающий канаву, роющий канаву"
ԱՌՎԱՓՈՍ,русло ручья;промоина
ԱՌՎԱՓՈՐ,рытьё канавы;роющий канаву
ԱՌՎԵԶԵՐՔ,"берег ручья, канавы"
ԱՌՎԵԶՐ,"берег ручья, канавы"
ԱՌՎՈՒՅՏ,люцерна;люцерновое поле;люцерновое сено
ԱՌՔ,купля;продажная цена;взяток
ԱՌՕՐԵԱԿԱՆ,"повседневный, ежедневный, каждодневный;обыденный, будничный"
ԱՌՕՐԵՈՒԹՅՈՒՆ,"повседневность;обыденность, будничность"
ԱՌՕՐՅԱ,"обыденный, будничный;повседневный, ежедневный;будни"
ԱՍ,ас
ԱՍԱՑԱԿԱՆ,"произносимый;выражающий речь, говорение"
ԱՍԱՑՈՂ,сказитель
ԱՍԱՑՎԱԾ,сказуемое
ԱՍԱՑՎԱԾՔ,поговорка
ԱՍԵԼ,"говорить, сказать;сообщать, сообщить, передавать, передать;упоминать, упомянуть;называть, назвать, нарекать, наречь;отвечать, ответить;рассказывать, рассказать;говорить, выражать мнение;предсказывать, предсказать, предугадывать, предугадать;предчувствовать;петь;думать, полагать;спрашивать, спросить;повторять, повторить;декламировать;утверждать, утвердить;значит, выходит;будто, точно"
ԱՍԵԼ-ԽՈՍԵԼ,еседовать
ԱՍԵԼԻՔ,"слово, сказ"
ԱՍԵՂ,"иголка, игла"
ԱՍԵՂԵ,игольчатый
ԱՍԵՂԵԼ,"колоть, уколоть"
ԱՍԵՂԻԿ,иголочка
ԱՍԵՂՆԱԳՈՐԾ,"вышивальщик, вышивальщица;вышивка, шитьё, кружева"
ԱՍԵՂՆԱԳՈՐԾԵԼ,"вышивать, вышить, расшивать, расшить, шить"
ԱՍԵՂՆԱԳՈՐԾՈՒԹՅՈՒՆ,"вышивание, вышивка, шитьё"
ԱՍԵՂՆԱԳՈՐԾՎԵԼ,"вышиваться, расшиваться"
ԱՍԵՂՆԱԿԱՐ,"вышитый вручную;шитьё вручную, ручное шитьё"
ԱՍԵՂՆԱՁԵՎ,"иглообразный, игольчатый"
ԱՍԵՂՆԱՅԻՆ,игольный
ԱՍԵՂՆԱՊԱՏ,иглистый
ԱՍԵՂՆԱՎՈՐ,"игольчатый, иглистый"
ԱՍԵՂՆԱՏԵՐԵՎ,хвойный;хвоя
ԱՍԵՐԳ,речитатив
ԱՍԻԱԿԱՆ,азиатский
ԱՍԻԱԿԱՆՈՒԹՅՈՒՆ,"азиатчина;устар. бран;грубость, невежество"
ԱՍԻԱՑԻ,"азиат;грубиян, неотёсанный, невежа"
ԱՍԻՄԻԼՅԱՏՈՐԱԿԱՆ,ассимиляторский
ԱՍԻՄԻԼՅԱՑԻԱ,ассимиляция
ԱՍԻՍՏԵՆՏ,ассистент
ԱՍԻՍՏԵՆՏԱԿԱՆ,ассистентский
ԱՍԼԱՆ,"лев, храбрец, смельчак"
ԱՍԿԱՆԱԹՈՒՅՐ,"рубиновый, красный"
ԱՍՂԱՀԱՐ,наколотый
ԱՍՂԱՄԱՆ,игольник
ԱՍՂԱՐՈՒՐ,вышивка
ԱՍՄՈՒՆՔ,"декламация, художественное чтение;манера декламации;предмет речи, разговора;проповедь"
ԱՍՄՈՒՆՔԱՅԻՆ,декламационный
ԱՍՄՈՒՆՔԵԼ,"декламировать, читать"
ԱՍՄՈՒՆՔՈՂ,"декламатор, чтец"
ԱՍՈՂԻԿ,певчий;рассказчик
ԱՍՈՎԻ,"устный, изустный, словесный;вымышленный, надуманный"
ԱՍՈՐԱ-ԲԱԲԵԼԱԿԱՆ,ассиро-вавилонский
ԱՍՈՐԱ-ԲԱԲԵԼՈՆԱԿԱՆ,ассиро-вавилонский
ԱՍՈՐԱԳԵՏ,ассиролог
ԱՍՈՐԱԳԻՏՈՒԹՅՈՒՆ,ассирология
ԱՍՈՐԱԿԱՆ,ассирийский;айсорский
ԱՍՈՐԵՍՏԱՆՅԱՆ,ассирийский
ԱՍՈՐԵՍՏԱՆՑԻ,ассириец
ԱՍՈՐԵՐԵՆ,"сирийский язык;сирийский;по-ассирийски, на ассирийском языке"
ԱՍՈՐԻ,сириец;айсор
ԱՍՈՒԼԻՍ,"беседа, разговор"
ԱՍՈՒՅԹ,"изречение, афоризм, высказывание"
ԱՍՈՒՅԹԱՅԻՆ,афористический
ԱՍՈՒՊ,метеор
ԱՍՈՒՐԱ-ԲԱԲԵԼԱԿԱՆ,ассиро-вавилонский
ԱՍՈՒՐԱԿԱՆ,ассирийский
ԱՍՈՒՐԵՐԵՆ,ассирийский язык;ассирийский;по-ассирийски
ԱՍՊԱԶԵՆ,"латы;вооружённый, в латах"
ԱՍՊԱԶԻՆԵԼ,"вооружать, вооружить, одеть доспехи"
ԱՍՊԱԶԻՆՎԵԼ,"вооружаться, вооружиться, надеть доспехи"
ԱՍՊԱԽԱՂ,джигитовка
ԱՍՊԱԽՈՒՄԲ,конный отряд
ԱՍՊԱՆԴԱԿ,стремя
ԱՍՊԱՆԴԱԿԱՊԱՀ,"стремянный, стременной"
ԱՍՊԱՆԴԱԿԵԼ,"пришпоривать, пришпорить"
ԱՍՊԱՍԱՐՔ,конская сбруя
ԱՍՊԱՍՏԱՆ,конюшня
ԱՍՊԱՏԱԿ,участник набега;набег
